Faça um relatório de Andamento de Atividades com as ideias aprendidas até aqui...

Prioridade	Tarefas	                                Status

5	Enviar a documentação para Marcela Mendes	Concluída
4	Finalizar o dicionário de variáveis da base de dados do projeto #234	Concluída
10	Realizar os testes de validação do modelo do projeto #234	Não iniciada
7	Análise exploratória das variáveis disponíveis	Em andamento
3	Solicitação de chamado para acessar as bases de dados necessárias do projeto #234	Concluída
6	Finalização do ETL das bases de dados do projeto #234	Em andamento
2	Brainstorm das informações necessárias para construção do projeto #234	Concluída
1	Finalizar o escopo e entregáveis do projeto #234	Concluída
8	Levantamento das possíveis metodologias para o projeto #234	Em andamento
9	Tratamento de outliers (valores atípicos) dos dados 	Em andamento
